id,name,code,credits
101,INGLÉS I,ING1,75
102,DESARROLLO HUMANO Y VALORES,DHV,60
103,FUNDAMENTOS MATEMÁTICOS,FM,105
104,FUNDAMENTOS DE REDES,FR,60
105,FÍSICA,FIS,90
106,FUNDAMENTOS DE PROGRAMACIÓN,FP,60
107,COMUNICACIÓN Y HABILIDADES DIGITALES,CHD,75
201,INGLÉS II,ING2,75
202,LIDERAZGO SOCIOEMOCIONAL,LSE,60
203,CÁLCULO DIFERENCIAL,CD,90
204,CONMUTACIÓN Y ENRUTAMIENTO DE REDES,CER,75
205,PROBABILIDAD Y ESTADÍSTICA,PE,75
206,PROGRAMACIÓN ESTRUCTURADA,PEST,75
207,SISTEMAS OPERATIVOS,SO,75
301,INGLÉS III,ING3,75
302,LIDERAZGO Y TOMA DE DECISIONES,LTD,60
303,CÁLCULO INTEGRAL,CI,60
304,TÓPICOS DE CALIDAD APLICADO AL DISEÑO DE SOFTWARE,TCADS,90
305,BASES DE DATOS,BD,75
306,PROGRAMACIÓN ORIENTADA A OBJETOS,POO,105
307,PROYECTO INTEGRADOR I,PI1,60
401,INGLÉS IV,ING4,75
402,ÉTICA PROFESIONAL,EP,60
403,CÁLCULO DE VARIAS VARIABLES,CVV,75
404,APLICACIONES WEB,AW,75
405,ESTRUCTURA DE DATOS,ED,75
406,DESARROLLO DE APLICACIONES MÓVILES,DAM,90
407,ANÁLISIS Y DISEÑO DE SOFTWARE,ADS,75
501,INGLÉS V,ING5,75
502,LIDERAZGO DE EQUIPOS DE ALTO DESEMPEÑO,LEAD,60
503,ECUACIONES DIFERENCIALES,EDIF,75
504,APLICACIONES WEB ORIENTADAS A SERVICIOS,AWOS,90
505,BASES DE DATOS AVANZADAS,BDA,75
506,INGENIERÍA DE MÉTRICAS PARA EL DESARROLLO DE SOFTWARE,IMDS,90
507,PROYECTO INTEGRADOR II,PI2,60
601,ESTADIA EN DESARROLLO DE SOFTWARE MULTIPLATAFORMA,EDSM,600
701,INGLÉS VI,ING6,75
702,HABILIDADES GERENCIALES,HG,60
703,FORMULACIÓN DE PROYECTOS DE TECNOLOGÍA,FPT,60
704,FUNDAMENTOS DE INTELIGENCIA ARTIFICIAL,FIA,90
705,LEGISLACIÓN EN TECNOLOGÍAS DE LA INFORMACIÓN,LMTI,60
706,OPTATIVA I MODELACIÓN DE DATOS EN LA NUBE,OAMDN,90
707,SEGURIDAD INFORMÁTICA,SI,90
801,INGLÉS VII,ING7,75
802,ELECTRÓNICA DIGITAL,EDIG,75
803,GESTIÓN DE PROYECTOS DE TECNOLOGÍA,GPT,60
804,PROGRAMACIÓN PARA INTELIGENCIA ARTIFICIAL,PAIA,75
805,ADMINISTRACIÓN DE SERVIDORES,AS,75
806,OPTATIVA II PROGRAMACIÓN MÓVIL AVANZADA,OPMA,90
807,INFORMÁTICA FORENSE,IF,75
901,INGLÉS VIII,ING8,75
902,INTERNET DE LAS COSAS,IOT,75
903,EVALUACIÓN DE PROYECTOS DE TECNOLOGÍA,EPT,60
904,CIENCIA DE DATOS,CDAT,90
905,TECNOLOGÍAS DISRUPTIVAS,TD,75
906,OPTATIVA III FRAMEWORKS PARA EL DESARROLLO,OFD,90
907,PROYECTO INTEGRADOR III,PI3,60
1001,ESTADIA EN LICENCIATURA EN INGENIERÍA EN TECNOLOGÍAS DE LA INFORMACIÓN E INNOVACIÓN DIGITAL,LITIID,600
